Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
8:30:00 AM,10.0,Tuesday,150.0,36,25.0,1,212.0,heavy
8:45:00 AM,10.0,Tuesday,107.0,10,49.0,2,168.0,heavy
9:00:00 AM,10.0,Tuesday,124.0,24,22.0,0,170.0,heavy
9:15:00 AM,10.0,Tuesday,77.0,16,39.0,29,161.0,high
9:30:00 AM,10.0,Tuesday,15.0,23,30.0,21,89.0,normal
9:45:00 AM,10.0,Tuesday,32.0,22,38.0,21,113.0,high
10:00:00 AM,10.0,Tuesday,68.0,13,29.0,24,134.0,high
10:15:00 AM,10.0,Tuesday,27.0,16,36.0,30,109.0,normal
10:30:00 AM,10.0,Tuesday,76.0,7,11.0,15,109.0,normal
10:45:00 AM,10.0,Tuesday,41.0,23,20.0,17,101.0,normal
11:00:00 AM,10.0,Tuesday,33.0,10,3.0,29,75.0,normal
11:15:00 AM,10.0,Tuesday,58.0,8,14.0,29,109.0,normal
11:30:00 AM,10.0,Tuesday,65.0,7,11.0,26,109.0,normal
11:45:00 AM,10.0,Tuesday,47.0,9,6.0,29,91.0,normal
12:00:00 PM,10.0,Tuesday,38.0,10,5.0,25,78.0,normal
12:15:00 PM,10.0,Tuesday,57.0,8,12.0,29,106.0,normal
12:30:00 PM,10.0,Tuesday,20.0,6,4.0,20,50.0,normal
12:45:00 PM,10.0,Tuesday,24.0,9,14.0,23,70.0,normal
1:00:00 PM,10.0,Tuesday,52.0,10,13.0,21,96.0,normal
1:15:00 PM,10.0,Tuesday,79.0,15,36.0,18,148.0,high
1:30:00 PM,10.0,Tuesday,84.0,24,22.0,18,148.0,normal
1:45:00 PM,10.0,Tuesday,59.0,19,35.0,16,129.0,high
2:00:00 PM,10.0,Tuesday,88.0,26,31.0,19,164.0,high
2:15:00 PM,10.0,Tuesday,24.0,11,32.0,13,80.0,normal
2:30:00 PM,10.0,Tuesday,110.0,17,23.0,20,170.0,heavy
2:45:00 PM,10.0,Tuesday,29.0,26,5.0,6,66.0,low
3:00:00 PM,10.0,Tuesday,43.0,26,11.0,20,100.0,normal
3:15:00 PM,10.0,Tuesday,68.0,28,9.0,15,120.0,normal
3:30:00 PM,10.0,Tuesday,108.0,16,8.0,18,150.0,normal
3:45:00 PM,10.0,Tuesday,101.0,26,8.0,14,149.0,normal
4:00:00 PM,10.0,Tuesday,141.0,31,36.0,6,214.0,heavy
4:15:00 PM,10.0,Tuesday,120.0,25,28.0,5,178.0,heavy
4:30:00 PM,10.0,Tuesday,137.0,23,44.0,5,209.0,heavy
4:45:00 PM,10.0,Tuesday,124.0,11,30.0,7,172.0,heavy
5:00:00 PM,10.0,Tuesday,145.0,25,49.0,7,226.0,heavy
5:15:00 PM,10.0,Tuesday,122.0,37,23.0,8,190.0,heavy
5:30:00 PM,10.0,Tuesday,136.0,30,20.0,9,195.0,heavy
5:45:00 PM,10.0,Tuesday,145.0,18,40.0,9,212.0,heavy
6:00:00 PM,10.0,Tuesday,138.0,34,28.0,5,205.0,heavy
6:15:00 PM,10.0,Tuesday,123.0,10,29.0,8,170.0,heavy
6:30:00 PM,10.0,Tuesday,105.0,15,21.0,9,150.0,normal
6:45:00 PM,10.0,Tuesday,75.0,22,20.0,11,128.0,normal
7:00:00 PM,10.0,Tuesday,90.0,12,10.0,13,125.0,normal
7:15:00 PM,10.0,Tuesday,102.0,22,20.0,16,160.0,normal
7:30:00 PM,10.0,Tuesday,61.0,18,15.0,27,121.0,high
7:45:00 PM,10.0,Tuesday,70.0,8,14.0,6,98.0,low
8:00:00 PM,10.0,Tuesday,80.0,17,12.0,34,143.0,high
8:15:00 PM,10.0,Tuesday,62.0,12,14.0,19,107.0,normal
8:30:00 PM,10.0,Tuesday,96.0,5,11.0,13,125.0,normal
8:45:00 PM,10.0,Tuesday,102.0,6,12.0,13,133.0,normal
9:00:00 PM,10.0,Tuesday,91.0,14,15.0,6,126.0,normal
9:15:00 PM,10.0,Tuesday,95.0,8,17.0,13,133.0,normal
9:30:00 PM,10.0,Tuesday,75.0,15,12.0,21,123.0,high
9:45:00 PM,10.0,Tuesday,53.0,21,20.0,10,104.0,normal
10:00:00 PM,10.0,Tuesday,13.0,1,0.0,19,33.0,normal
10:15:00 PM,10.0,Tuesday,10.0,0,1.0,24,35.0,normal
10:30:00 PM,10.0,Tuesday,16.0,2,0.0,33,51.0,normal
10:45:00 PM,10.0,Tuesday,11.0,1,0.0,29,41.0,normal
11:00:00 PM,10.0,Tuesday,18.0,2,1.0,13,34.0,normal
11:15:00 PM,10.0,Tuesday,15.0,0,1.0,11,27.0,low
11:30:00 PM,10.0,Tuesday,14.0,1,0.0,33,48.0,normal
11:45:00 PM,10.0,Tuesday,17.0,2,0.0,22,41.0,normal
12:00:00 AM,11.0,Wednesday,12.0,2,1.0,17,32.0,normal
12:15:00 AM,11.0,Wednesday,18.0,0,0.0,29,47.0,normal
12:30:00 AM,11.0,Wednesday,16.0,1,0.0,14,31.0,normal
12:45:00 AM,11.0,Wednesday,20.0,0,0.0,14,34.0,normal
1:00:00 AM,11.0,Wednesday,20.0,1,1.0,30,52.0,normal
1:15:00 AM,11.0,Wednesday,15.0,0,1.0,23,39.0,normal
1:30:00 AM,11.0,Wednesday,16.0,0,1.0,26,43.0,normal
1:45:00 AM,11.0,Wednesday,18.0,4,0.0,11,33.0,low
2:00:00 AM,11.0,Wednesday,17.0,3,1.0,36,57.0,normal
2:15:00 AM,11.0,Wednesday,14.0,4,1.0,10,29.0,low
2:30:00 AM,11.0,Wednesday,18.0,2,1.0,25,46.0,normal
2:45:00 AM,11.0,Wednesday,12.0,2,0.0,19,33.0,normal
3:00:00 AM,11.0,Wednesday,11.0,4,0.0,30,45.0,normal
3:15:00 AM,11.0,Wednesday,19.0,1,1.0,36,57.0,normal
3:30:00 AM,11.0,Wednesday,10.0,4,0.0,36,50.0,normal
3:45:00 AM,11.0,Wednesday,20.0,1,1.0,32,54.0,normal
4:00:00 AM,11.0,Wednesday,15.0,5,1.0,40,61.0,normal
4:15:00 AM,11.0,Wednesday,104.0,6,5.0,1,116.0,normal
4:30:00 AM,11.0,Wednesday,109.0,25,3.0,8,145.0,normal
4:45:00 AM,11.0,Wednesday,82.0,23,8.0,20,133.0,normal
5:00:00 AM,11.0,Wednesday,81.0,25,1.0,18,125.0,normal
5:15:00 AM,11.0,Wednesday,95.0,16,10.0,1,122.0,normal
5:30:00 AM,11.0,Wednesday,91.0,24,7.0,6,128.0,normal
5:45:00 AM,11.0,Wednesday,81.0,30,10.0,0,121.0,normal
6:00:00 AM,11.0,Wednesday,125.0,13,26.0,2,166.0,high
6:15:00 AM,11.0,Wednesday,125.0,39,49.0,3,216.0,heavy
6:30:00 AM,11.0,Wednesday,125.0,34,37.0,1,197.0,heavy
6:45:00 AM,11.0,Wednesday,125.0,19,25.0,4,173.0,heavy
7:00:00 AM,11.0,Wednesday,125.0,15,49.0,0,189.0,heavy
7:15:00 AM,11.0,Wednesday,125.0,32,50.0,5,212.0,heavy
7:30:00 AM,11.0,Wednesday,125.0,38,50.0,1,214.0,heavy
7:45:00 AM,11.0,Wednesday,125.0,29,29.0,3,186.0,heavy
8:00:00 AM,11.0,Wednesday,125.0,31,48.0,4,208.0,heavy
8:15:00 AM,11.0,Wednesday,125.0,32,50.0,0,207.0,heavy
8:30:00 AM,11.0,Wednesday,125.0,31,45.0,0,201.0,heavy
8:45:00 AM,11.0,Wednesday,125.0,21,20.0,1,167.0,normal
9:00:00 AM,11.0,Wednesday,125.0,28,36.0,0,189.0,heavy
9:15:00 AM,11.0,Wednesday,39.0,10,37.0,16,102.0,normal
9:30:00 AM,11.0,Wednesday,89.0,8,12.0,13,122.0,normal
9:45:00 AM,11.0,Wednesday,51.0,16,16.0,13,96.0,normal
10:00:00 AM,11.0,Wednesday,17.0,9,18.0,28,72.0,normal
10:15:00 AM,11.0,Wednesday,48.0,25,36.0,21,130.0,high
10:30:00 AM,11.0,Wednesday,93.0,7,30.0,16,146.0,high
10:45:00 AM,11.0,Wednesday,55.0,15,36.0,15,121.0,high
11:00:00 AM,11.0,Wednesday,51.0,10,8.0,22,91.0,normal
11:15:00 AM,11.0,Wednesday,51.0,7,3.0,24,85.0,normal
11:30:00 AM,11.0,Wednesday,51.0,9,7.0,30,97.0,normal
11:45:00 AM,11.0,Wednesday,51.0,7,14.0,20,92.0,normal
12:00:00 PM,11.0,Wednesday,51.0,10,14.0,20,95.0,normal
12:15:00 PM,11.0,Wednesday,51.0,10,6.0,22,89.0,normal
12:30:00 PM,11.0,Wednesday,51.0,8,11.0,22,92.0,normal
12:45:00 PM,11.0,Wednesday,51.0,6,10.0,26,93.0,normal
1:00:00 PM,11.0,Wednesday,51.0,7,7.0,27,92.0,normal
1:15:00 PM,11.0,Wednesday,104.0,17,25.0,20,166.0,normal
1:30:00 PM,11.0,Wednesday,6.0,28,27.0,14,75.0,normal
1:45:00 PM,11.0,Wednesday,54.0,29,37.0,9,129.0,high
2:00:00 PM,11.0,Wednesday,43.0,13,30.0,20,106.0,normal
2:15:00 PM,11.0,Wednesday,60.0,21,26.0,11,118.0,high
2:30:00 PM,11.0,Wednesday,101.0,23,8.0,20,152.0,normal
2:45:00 PM,11.0,Wednesday,62.0,26,19.0,11,118.0,normal
3:00:00 PM,11.0,Wednesday,39.0,24,13.0,11,87.0,low
3:15:00 PM,11.0,Wednesday,90.0,20,35.0,7,152.0,high
3:30:00 PM,11.0,Wednesday,109.0,30,22.0,20,181.0,heavy
3:45:00 PM,11.0,Wednesday,68.0,26,25.0,20,139.0,normal
4:00:00 PM,11.0,Wednesday,142.0,22,37.0,6,207.0,heavy
4:15:00 PM,11.0,Wednesday,113.0,14,20.0,5,152.0,normal
4:30:00 PM,11.0,Wednesday,142.0,13,37.0,8,200.0,heavy
4:45:00 PM,11.0,Wednesday,108.0,23,26.0,9,166.0,high
5:00:00 PM,11.0,Wednesday,122.0,29,30.0,7,188.0,heavy
5:15:00 PM,11.0,Wednesday,133.0,12,30.0,7,182.0,heavy
5:30:00 PM,11.0,Wednesday,118.0,23,38.0,10,189.0,heavy
5:45:00 PM,11.0,Wednesday,121.0,35,26.0,8,190.0,heavy
6:00:00 PM,11.0,Wednesday,116.0,23,20.0,8,167.0,normal
6:15:00 PM,11.0,Wednesday,132.0,12,27.0,8,179.0,heavy
6:30:00 PM,11.0,Wednesday,144.0,17,33.0,7,201.0,heavy
6:45:00 PM,11.0,Wednesday,103.0,21,11.0,11,146.0,normal
7:00:00 PM,11.0,Wednesday,107.0,15,10.0,15,147.0,normal
7:15:00 PM,11.0,Wednesday,50.0,10,10.0,17,87.0,normal
7:30:00 PM,11.0,Wednesday,108.0,15,10.0,6,139.0,normal
7:45:00 PM,11.0,Wednesday,108.0,24,15.0,29,176.0,heavy
8:00:00 PM,11.0,Wednesday,101.0,6,15.0,13,135.0,normal
8:15:00 PM,11.0,Wednesday,55.0,17,12.0,19,103.0,normal
8:30:00 PM,11.0,Wednesday,77.0,7,20.0,16,120.0,normal
8:45:00 PM,11.0,Wednesday,91.0,12,19.0,8,130.0,normal
9:00:00 PM,11.0,Wednesday,95.0,25,17.0,29,166.0,high
9:15:00 PM,11.0,Wednesday,78.0,17,17.0,27,139.0,high
9:30:00 PM,11.0,Wednesday,98.0,16,16.0,21,151.0,high
9:45:00 PM,11.0,Wednesday,86.0,13,11.0,35,145.0,high
10:00:00 PM,11.0,Wednesday,18.0,4,0.0,16,38.0,normal
10:15:00 PM,11.0,Wednesday,18.0,5,0.0,12,35.0,low
10:30:00 PM,11.0,Wednesday,18.0,2,1.0,25,46.0,normal
10:45:00 PM,11.0,Wednesday,18.0,1,0.0,17,36.0,normal
11:00:00 PM,11.0,Wednesday,18.0,5,0.0,21,44.0,normal
11:15:00 PM,11.0,Wednesday,18.0,0,1.0,12,31.0,low
11:30:00 PM,11.0,Wednesday,18.0,3,1.0,28,50.0,normal
11:45:00 PM,11.0,Wednesday,18.0,4,1.0,40,63.0,normal
12:00:00 AM,12.0,Thursday,18.0,1,1.0,39,59.0,normal
12:15:00 AM,12.0,Thursday,18.0,4,0.0,30,52.0,normal
12:30:00 AM,12.0,Thursday,18.0,5,1.0,13,37.0,normal
12:45:00 AM,12.0,Thursday,18.0,2,0.0,37,57.0,normal
1:00:00 AM,12.0,Thursday,18.0,0,0.0,13,31.0,normal
1:15:00 AM,12.0,Thursday,18.0,5,0.0,11,34.0,low
1:30:00 AM,12.0,Thursday,18.0,5,1.0,12,36.0,low
1:45:00 AM,12.0,Thursday,18.0,1,1.0,16,36.0,normal
2:00:00 AM,12.0,Thursday,18.0,1,1.0,34,54.0,normal
2:15:00 AM,12.0,Thursday,18.0,1,0.0,24,43.0,normal
2:30:00 AM,12.0,Thursday,18.0,0,0.0,23,41.0,normal
2:45:00 AM,12.0,Thursday,18.0,0,0.0,27,45.0,normal
3:00:00 AM,12.0,Thursday,18.0,5,0.0,28,51.0,normal
3:15:00 AM,12.0,Thursday,18.0,1,0.0,14,33.0,normal
3:30:00 AM,12.0,Thursday,18.0,5,0.0,25,48.0,normal
3:45:00 AM,12.0,Thursday,18.0,4,1.0,30,53.0,normal
4:00:00 AM,12.0,Thursday,18.0,5,1.0,30,54.0,normal
4:15:00 AM,12.0,Thursday,62.0,24,7.0,2,95.0,low
4:30:00 AM,12.0,Thursday,51.0,23,6.0,1,81.0,low
4:45:00 AM,12.0,Thursday,114.0,23,10.0,19,166.0,normal
5:00:00 AM,12.0,Thursday,85.0,22,9.0,9,125.0,normal
5:15:00 AM,12.0,Thursday,102.0,24,4.0,20,150.0,normal
5:30:00 AM,12.0,Thursday,101.0,18,3.0,17,139.0,normal
5:45:00 AM,12.0,Thursday,116.0,19,0.0,17,152.0,normal
6:00:00 AM,12.0,Thursday,117.0,38,50.0,5,210.0,heavy
6:15:00 AM,12.0,Thursday,114.0,32,34.0,2,182.0,heavy
6:30:00 AM,12.0,Thursday,120.0,17,23.0,1,161.0,normal
6:45:00 AM,12.0,Thursday,145.0,20,25.0,2,192.0,heavy
7:00:00 AM,12.0,Thursday,125.0,30,48.0,1,204.0,heavy
7:15:00 AM,12.0,Thursday,103.0,27,45.0,1,176.0,heavy
7:30:00 AM,12.0,Thursday,114.0,20,43.0,1,178.0,heavy
7:45:00 AM,12.0,Thursday,145.0,10,44.0,1,200.0,heavy
8:00:00 AM,12.0,Thursday,147.0,31,20.0,4,202.0,heavy
8:15:00 AM,12.0,Thursday,104.0,24,40.0,0,168.0,heavy
8:30:00 AM,12.0,Thursday,124.0,11,22.0,0,157.0,normal
8:45:00 AM,12.0,Thursday,101.0,37,31.0,4,173.0,heavy
9:00:00 AM,12.0,Thursday,144.0,30,37.0,1,212.0,heavy
9:15:00 AM,12.0,Thursday,24.0,18,37.0,18,97.0,normal
9:30:00 AM,12.0,Thursday,24.0,8,17.0,25,74.0,normal
9:45:00 AM,12.0,Thursday,16.0,22,12.0,20,70.0,normal
10:00:00 AM,12.0,Thursday,26.0,2,39.0,26,93.0,normal
10:15:00 AM,12.0,Thursday,90.0,7,18.0,15,130.0,normal
10:30:00 AM,12.0,Thursday,59.0,6,11.0,11,87.0,low
10:45:00 AM,12.0,Thursday,28.0,7,22.0,18,75.0,normal
11:00:00 AM,12.0,Thursday,60.0,5,14.0,21,100.0,normal
11:15:00 AM,12.0,Thursday,69.0,9,8.0,23,109.0,normal
11:30:00 AM,12.0,Thursday,59.0,9,12.0,26,106.0,normal
11:45:00 AM,12.0,Thursday,24.0,10,5.0,21,60.0,normal
12:00:00 PM,12.0,Thursday,41.0,7,7.0,21,76.0,normal
12:15:00 PM,12.0,Thursday,48.0,10,9.0,29,96.0,normal
12:30:00 PM,12.0,Thursday,59.0,10,14.0,23,106.0,normal
12:45:00 PM,12.0,Thursday,67.0,7,12.0,28,114.0,high
1:00:00 PM,12.0,Thursday,52.0,9,8.0,20,89.0,normal
1:15:00 PM,12.0,Thursday,45.0,26,29.0,10,110.0,normal
1:30:00 PM,12.0,Thursday,14.0,21,7.0,18,60.0,normal
1:45:00 PM,12.0,Thursday,55.0,22,24.0,10,111.0,normal
2:00:00 PM,12.0,Thursday,45.0,14,39.0,5,103.0,normal
2:15:00 PM,12.0,Thursday,90.0,17,16.0,11,134.0,normal
2:30:00 PM,12.0,Thursday,33.0,21,25.0,5,84.0,normal
2:45:00 PM,12.0,Thursday,118.0,25,31.0,13,187.0,heavy
3:00:00 PM,12.0,Thursday,86.0,28,13.0,5,132.0,normal
3:15:00 PM,12.0,Thursday,105.0,29,22.0,12,168.0,heavy
3:30:00 PM,12.0,Thursday,10.0,19,26.0,8,63.0,normal
3:45:00 PM,12.0,Thursday,46.0,22,18.0,9,95.0,normal
4:00:00 PM,12.0,Thursday,105.0,35,48.0,6,194.0,heavy
4:15:00 PM,12.0,Thursday,135.0,37,34.0,5,211.0,heavy
4:30:00 PM,12.0,Thursday,103.0,29,44.0,6,182.0,heavy
4:45:00 PM,12.0,Thursday,113.0,13,42.0,10,178.0,heavy
5:00:00 PM,12.0,Thursday,103.0,20,27.0,9,159.0,high
5:15:00 PM,12.0,Thursday,150.0,13,20.0,9,192.0,heavy
5:30:00 PM,12.0,Thursday,116.0,25,33.0,8,182.0,heavy
5:45:00 PM,12.0,Thursday,109.0,16,41.0,9,175.0,heavy
6:00:00 PM,12.0,Thursday,112.0,11,50.0,5,178.0,heavy
6:15:00 PM,12.0,Thursday,104.0,31,30.0,5,170.0,heavy
6:30:00 PM,12.0,Thursday,146.0,18,40.0,6,210.0,heavy
6:45:00 PM,12.0,Thursday,110.0,24,10.0,29,173.0,heavy
7:00:00 PM,12.0,Thursday,60.0,15,12.0,25,112.0,high
7:15:00 PM,12.0,Thursday,103.0,9,14.0,29,155.0,high
7:30:00 PM,12.0,Thursday,102.0,6,15.0,6,129.0,normal
7:45:00 PM,12.0,Thursday,51.0,17,16.0,8,92.0,normal
8:00:00 PM,12.0,Thursday,62.0,12,11.0,18,103.0,normal
8:15:00 PM,12.0,Thursday,103.0,14,12.0,5,134.0,normal
8:30:00 PM,12.0,Thursday,50.0,7,11.0,23,91.0,normal
8:45:00 PM,12.0,Thursday,80.0,14,20.0,6,120.0,normal
9:00:00 PM,12.0,Thursday,98.0,13,18.0,21,150.0,high
9:15:00 PM,12.0,Thursday,53.0,25,20.0,13,111.0,normal
9:30:00 PM,12.0,Thursday,52.0,8,10.0,27,97.0,normal
9:45:00 PM,12.0,Thursday,71.0,23,13.0,21,128.0,high
10:00:00 PM,12.0,Thursday,17.0,3,0.0,29,49.0,normal
10:15:00 PM,12.0,Thursday,20.0,5,1.0,36,62.0,normal
10:30:00 PM,12.0,Thursday,15.0,0,0.0,32,47.0,normal
10:45:00 PM,12.0,Thursday,15.0,0,1.0,20,36.0,normal
11:00:00 PM,12.0,Thursday,14.0,2,0.0,23,39.0,normal
11:15:00 PM,12.0,Thursday,13.0,1,0.0,29,43.0,normal
11:30:00 PM,12.0,Thursday,14.0,5,0.0,31,50.0,normal
11:45:00 PM,12.0,Thursday,16.0,3,0.0,33,52.0,normal
12:00:00 AM,13.0,Friday,18.0,4,1.0,15,38.0,normal
12:15:00 AM,13.0,Friday,20.0,0,1.0,23,44.0,normal
12:30:00 AM,13.0,Friday,19.0,3,0.0,16,38.0,normal
12:45:00 AM,13.0,Friday,10.0,3,0.0,12,25.0,low
1:00:00 AM,13.0,Friday,10.0,4,0.0,23,37.0,normal
1:15:00 AM,13.0,Friday,12.0,5,0.0,29,46.0,normal
1:30:00 AM,13.0,Friday,10.0,0,0.0,39,49.0,normal
1:45:00 AM,13.0,Friday,16.0,2,1.0,21,40.0,normal
2:00:00 AM,13.0,Friday,18.0,4,1.0,36,59.0,normal
2:15:00 AM,13.0,Friday,15.0,1,0.0,14,30.0,normal
2:30:00 AM,13.0,Friday,17.0,4,0.0,13,34.0,normal
2:45:00 AM,13.0,Friday,18.0,3,1.0,24,46.0,normal
3:00:00 AM,13.0,Friday,19.0,2,0.0,11,32.0,low
3:15:00 AM,13.0,Friday,19.0,3,0.0,21,43.0,normal
3:30:00 AM,13.0,Friday,19.0,3,1.0,31,54.0,normal
3:45:00 AM,13.0,Friday,14.0,2,1.0,19,36.0,normal
4:00:00 AM,13.0,Friday,11.0,0,0.0,27,38.0,normal
4:15:00 AM,13.0,Friday,27.0,6,1.0,11,45.0,low
4:30:00 AM,13.0,Friday,33.0,11,6.0,13,63.0,normal
4:45:00 AM,13.0,Friday,63.0,6,7.0,10,86.0,low
5:00:00 AM,13.0,Friday,58.0,13,4.0,15,90.0,normal
5:15:00 AM,13.0,Friday,57.0,11,7.0,10,85.0,low
5:30:00 AM,13.0,Friday,63.0,10,6.0,12,91.0,low
5:45:00 AM,13.0,Friday,74.0,9,0.0,15,98.0,normal
6:00:00 AM,13.0,Friday,71.0,9,7.0,10,97.0,low
6:15:00 AM,13.0,Friday,33.0,9,6.0,13,61.0,normal
6:30:00 AM,13.0,Friday,29.0,6,1.0,12,48.0,low
6:45:00 AM,13.0,Friday,32.0,9,3.0,11,55.0,low
7:00:00 AM,13.0,Friday,57.0,14,3.0,11,85.0,low
7:15:00 AM,13.0,Friday,31.0,11,0.0,14,56.0,normal
7:30:00 AM,13.0,Friday,30.0,9,3.0,10,52.0,low
7:45:00 AM,13.0,Friday,61.0,8,7.0,12,88.0,low
8:00:00 AM,13.0,Friday,47.0,10,4.0,10,71.0,low
8:15:00 AM,13.0,Friday,80.0,16,4.0,15,115.0,normal
8:30:00 AM,13.0,Friday,49.0,10,2.0,10,71.0,low
8:45:00 AM,13.0,Friday,58.0,7,5.0,13,83.0,normal
9:00:00 AM,13.0,Friday,53.0,19,1.0,10,83.0,low
9:15:00 AM,13.0,Friday,132.0,47,25.0,0,204.0,heavy
9:30:00 AM,13.0,Friday,131.0,52,15.0,0,198.0,heavy
9:45:00 AM,13.0,Friday,171.0,59,27.0,3,260.0,heavy
10:00:00 AM,13.0,Friday,131.0,43,20.0,3,197.0,heavy
10:15:00 AM,13.0,Friday,177.0,56,12.0,4,249.0,heavy
10:30:00 AM,13.0,Friday,160.0,47,30.0,3,240.0,heavy
10:45:00 AM,13.0,Friday,178.0,68,28.0,4,278.0,heavy
11:00:00 AM,13.0,Friday,169.0,70,20.0,3,262.0,heavy
11:15:00 AM,13.0,Friday,133.0,56,25.0,2,216.0,heavy
11:30:00 AM,13.0,Friday,151.0,52,13.0,0,216.0,heavy
11:45:00 AM,13.0,Friday,179.0,46,27.0,3,255.0,heavy
12:00:00 PM,13.0,Friday,144.0,68,20.0,0,232.0,heavy
12:15:00 PM,13.0,Friday,162.0,46,19.0,2,229.0,heavy
12:30:00 PM,13.0,Friday,159.0,44,23.0,2,228.0,heavy
12:45:00 PM,13.0,Friday,174.0,67,30.0,1,272.0,heavy
1:00:00 PM,13.0,Friday,136.0,57,29.0,4,226.0,heavy
1:15:00 PM,13.0,Friday,156.0,42,12.0,3,213.0,heavy
1:30:00 PM,13.0,Friday,175.0,63,19.0,3,260.0,heavy
1:45:00 PM,13.0,Friday,172.0,62,20.0,2,256.0,heavy
2:00:00 PM,13.0,Friday,171.0,49,15.0,0,235.0,heavy
2:15:00 PM,13.0,Friday,172.0,65,18.0,2,257.0,heavy
2:30:00 PM,13.0,Friday,176.0,50,13.0,1,240.0,heavy
2:45:00 PM,13.0,Friday,153.0,50,23.0,3,229.0,heavy
3:00:00 PM,13.0,Friday,148.0,64,27.0,0,239.0,heavy
3:15:00 PM,13.0,Friday,56.0,28,6.0,2,92.0,low
3:30:00 PM,13.0,Friday,88.0,26,25.0,0,139.0,normal
3:45:00 PM,13.0,Friday,82.0,23,14.0,0,119.0,normal
4:00:00 PM,13.0,Friday,77.0,20,7.0,0,104.0,low
4:15:00 PM,13.0,Friday,66.0,24,1.0,0,91.0,low
4:30:00 PM,13.0,Friday,72.0,22,8.0,2,104.0,low
4:45:00 PM,13.0,Friday,62.0,28,21.0,2,113.0,normal
5:00:00 PM,13.0,Friday,66.0,26,4.0,1,97.0,low
5:15:00 PM,13.0,Friday,85.0,20,4.0,0,109.0,low
5:30:00 PM,13.0,Friday,87.0,24,11.0,2,124.0,normal
5:45:00 PM,13.0,Friday,67.0,28,25.0,0,120.0,normal
6:00:00 PM,13.0,Friday,70.0,26,16.0,2,114.0,normal
6:15:00 PM,13.0,Friday,62.0,20,20.0,1,103.0,normal
6:30:00 PM,13.0,Friday,67.0,29,1.0,0,97.0,low
6:45:00 PM,13.0,Friday,65.0,25,1.0,1,92.0,low
7:00:00 PM,13.0,Friday,76.0,24,23.0,0,123.0,normal
7:15:00 PM,13.0,Friday,42.0,1,5.0,11,59.0,low
7:30:00 PM,13.0,Friday,42.0,10,3.0,1,56.0,low
7:45:00 PM,13.0,Friday,31.0,11,1.0,12,55.0,low
8:00:00 PM,13.0,Friday,47.0,7,3.0,6,63.0,low
8:15:00 PM,13.0,Friday,28.0,7,2.0,4,41.0,low
8:30:00 PM,13.0,Friday,22.0,3,6.0,1,32.0,low
8:45:00 PM,13.0,Friday,29.0,1,7.0,5,42.0,low
